Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Montenegro,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,60.8,62.3,64.2,85.1,76.7,75.1,79.4,67.7,64.8,67.5,55.5,67.2
Poland,1784,1494,1541,1722,1882,2123,2252,2719,3083,3192,3491,3227,3146,3631,3776,4150,4779,5896,6619,8589,9349,7904,8790,9455,8987,9276,10345,10213,9341
Romania,2524,2572,1739,1377,832,722,937,983,874,1075,1254,955,936,986,1056,1250,1530,1976,2251,2608,3000,2225,2086,2380,2103,2453,2691,2581,2765
Serbia,xxx,xxx,xxx,xxx,0,0,0,0,0,914,642,737,337,494,679,731,739,630,705,972,1112,974,872,987,854,920,913,724,710
Slovak Rep.,xxx,xxx,xxx,xxx,xxx,267,300,630,642,500,398,327,342,394,440,625,711,823,911,1139,1412,1350,1138,1065,1020,968,998,986,1035
Slovenia,xxx,xxx,xxx,xxx,281,230,238,335,330,291,301,275,222,271,327,417,493,514,609,693,829,799,772,666,543,507,486,401,404
Yugoslavia (former),0.0,0.0,0.0,0.0,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Armenia,xxx,xxx,xxx,xxx,0.0,9.8,0.0,52.2,52.4,64.1,66.8,68.2,68.1,66.2,64.1,76.6,98.1,141,188,280,396,359,395,391,381,445,458,447,431
Azerbaijan,xxx,xxx,xxx,xxx,11.1,77.5,43.9,66.2,71.6,92.1,107,120,120,132,140,177,228,305,717,947,1608,1473,1477,3080,3246,3368,3427,3021,1379
Belarus,xxx,xxx,xxx,xxx,0,0,0,179,183,249,228,166,140,178,204,232,314,453,632,747,883,675,768,756,817,971,1011,724,597
Georgia,xxx,xxx,xxx,xxx,0.0,0.0,0.0,0.0,67.7,44.0,41.1,25.9,18.8,23.8,34.0,42.6,70.4,214,404,932,1090,604,454,469,492,442,416,333,315
Moldova,xxx,xxx,xxx,xxx,0.0,0.0,0.0,13.3,15.4,17.4,10.6,6.0,5.1,6.0,7.0,8.2,9.4,12.0,16.4,22.7,36.8,24.9,18.3,23.0,23.9,26.7,27.6,23.1,29.7
Russian Federation,xxx,xxx,xxx,xxx,0,7767,13548,12742,15826,17577,7956,6469,9228,11683,13944,16974,20955,27337,34518,43535,56184,51532,58720,70238,81469,88353,84697,66419,69245
Ukraine,xxx,xxx,xxx,xxx,0,152,919,1047,1465,2069,1405,942,1137,1089,1176,1428,1685,2405,2986,4096,4811,3452,3730,3685,4137,4386,4033,3617,3423
USSR,246011,218760,219114,0,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Austria,1714,1623,1973,1994,2140,2115,2228,2558,2458,2165,2160,2124,1926,1789,1882,2382,2679,2686,2640,3500,3747,3335,3218,3410,3187,3229,3305,2665,2862
Belgium,4097,3881,4644,4625,4131,3746,3944,4449,4242,3684,3664,3598,3191,3036,3147,3876,4263,4228,4308,5164,6296,5621,5245,5499,5169,5263,5184,4218,4063
Cyprus,244,245,411,418,630,268,298,299,448,534,484,290,281,328,242,288,338,381,388,405,454,471,478,480,414,385,358,328,353
Denmark,2320,2184,2650,2672,2838,2682,2719,3118,3086,2804,2846,2785,2393,2525,2694,3199,3579,3468,3897,4176,4788,4337,4503,4519,4422,4217,4057,3364,3514
Finland,1704,1767,2141,2201,2076,1615,1756,1909,2022,1947,1960,1654,1558,1479,1611,2264,2646,2743,2861,3015,3615,3599,3400,3749,3603,3787,3599,3051,3246
